spp,Phylum,Class,Order,Family,Genus,Species,Past Gen,Authority,Common name,Migrants,Natural hybrid,Cryptic species complex,Endemic to Singapore,Global IUCN status,RDB2 status,RDB3 status,First known,Last known,No. of digital records and specimens,Actual generation time,Actual x 3,"% change [from 1980s to 2010s, based on 1980s]",Modelled rate of change,Modelled rate (p-value),pop <50,pop <250,pop <1000,pop <2500,pop <10000,Habitat loss,Habitat modification,Declining water quality,Sedimentation,Harmful algal blooms,Oil spills,Light pollution,Noise pollution,Warming,Acidification,Extraction,Invasive displacement,Threats still operating,Threats ceased,Habitat and ecology,sites ≤5 (named),sites >5,Area protection taken,Species recovery programme taken,Habitat restoration taken,Habitat creation taken,Maritime regulation taken,Area protection required,Species recovery programme required,Habitat restoration required,Habitat creation required,Maritime regulation required,Justifications,Remarks,References
Echinophyllia echinoporoides,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Echinophyllia,echinoporoides,Echinophyllia,"Veron & Pichon, 1980",Red stone coral,No,No,No,No,LC,-,LC,1995 (Loo & Chou),2020 (Ng et al),4,10,30,5325,0.154046,7.81E-13,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.",,"HA-NE, HA-W, HP-E, HP-W, JO-S, KU-NE, LZ-E, LZ-SW, PSD-SW, PSL-SE, RL-W, SE-NW, SJ-S, SS-S, TKK-W, TPT-SW",,,,,X (SultanShoal),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,Loo & Chou 1995; Wong et al 2018; Chow et al 2019; Ng et al 2020
Echinophyllia glabra,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Echinophyllia,glabra,Oxypora,"Nemenzo, 1959 ",Chalice coral,No,No,No,No,LC,-,VU,"1985 (ZRC, 19850701)",2020 (Ng et al),4,10,30,-88.13559322,-0.01444,0.187998,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.",PSL-SE,,,,,,,X,,X,,X,"Not found at many sites. Population decline not significant.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Iffah(LKCNHM); Loo & Chou 1995; Wong et al 2018; Ng et al 2020
Homophyllia bowerbanki,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Homophyllia,bowerbanki,Acanthastrea,"(Milne Edwards & Haime, 1857)",Brain coral,No,No,No,No,VU,-,DD,1995 (as Acanthastrea hillae; Loo & Chou),2009 (Huang et al),2,10,30,-100,-0.00196,0.467971,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive. 
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995; Huang et al 2009
Lobophyllia agaricia,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Lobophyllia,agaricia,Symphyllia,"(Milne Edwards & Haime, 1849)",Grooved brain coral,No,No,No,No,LC,-,LC,1881 (as Symphyllia indica; Studer),2020 (Kikuzawa et al),7,10,30,1233.333333,0.037109,7.04E-07,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive. 
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HP-E, HP-W, KU-NE, LZ-E, PSD-NW, PSL-SE, RL-W, SJ-NW, TM-E, TPT-SW",X (SIMP),,,,X (Raffles),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,Studer 1881; Guest et al 2005b; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Kikuzawa et al 2020
Lobophyllia corymbosa,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Lobophyllia,corymbosa,Lobophyllia,"(Forskål, 1775)",Lobed brain coral,No,No,No,No,LC,-,LC,"1986 (ZRC, 19860506)",2020 (Lim et al),6,10,30,4318.75,0.078554,2.78E-10,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.",,"HP-E, HP-W, JO-S, KU-NE,PSD-NW, RL-W, SE-SW, TKK-W, TPT-SW",X (SIMP),,,,,,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,Iffah(LKCNHM); Loo & Chou 1995; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Lim et al 2020
Lobophyllia flabelliformis,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Lobophyllia,flabelliformis,Lobophyllia,"Veron, 2000",,No,No,No,No,VU,-,DD,2019 (Chow et al),2020 (Ng et al),2,10,30,,0.032201,3.61E-05,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive.
Hermaphroditic broadcaster.",,"HA-W, HP-W, JO-S, KU-NE, LZ-E, PSD-NW, RL-W, SJ-NW, TM-E, TPT-SW",,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Chow et al 2019; Ng et al 2020
Lobophyllia hataii,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Lobophyllia,hataii,Lobophyllia,"Yabe, Sugiyama & Eguchi, 1936",Lobed brain coral,No,No,No,No,LC,-,VU,"1986 (ZRC, 19860506)",2020 (Kikuzawa et al),5,10,30,-66.84210526,-0.01141,0.23763,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"CY-S, HA-W, HP-W, JO-S, SE-SW, TKK-W",,,,,,X,,X,X,X,"Common at many sites. Population decline not significant

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Iffah(LKCNHM); Loo & Chou 1995; Wong et al 2018; Chow et al 2019; Kikuzawa et al 2020
Lobophyllia hemprichii,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Lobophyllia,hemprichii,Lobophyllia,"(Ehrenberg, 1834)",Lobed brain coral,No,No,No,No,LC,-,LC,1881 (as Mussa tenuidentata; Studer),2020 (Kikuzawa et al),13,10,30,30.31141869,-0.02721,0.405499,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HA-NE, JO-S, KU-NE, PSD-NW, PSL-SE, RL-W, SE-SW, SJ-NW, SJ-S, TKK-W, TM-E, TM-S, TPT-SW",X (SIMP),"
X (Chou et al, subtidal seawall transplant)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not significant.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Studer 1881; Purchon 1956; Chuang 1961; Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005b; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020

Chou et al 2018 (relevance of reef restoration)"
Lobophyllia radians,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Lobophyllia,radians,Symphyllia,"(Milne Edwards & Haime, 1849)",Grooved brain coral,No,No,No,No,LC,-,LC,1881 (as Symphyllia radians & S. grandis; Studer),2021 (Lee et al),14,10,30,271.653027,0.098774,0.001807,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HA-NE, HA-W, HP-E, JO-S, KU-NE, LZ-E, LZ-SW, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-SW, SJ-S, SS-N, SS-S, TM-E, TPT-SW",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",Also documented on reef flats (Lee et al 2021),"Studer 1881; Iffah(LKCNHM); Loo & Chou 1995; Guest et al 2005b; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Lee et al 2021

Quek & Huang 2019 (phylotranscriptomic analysis); Quek et al 2020 (baits)"
Lobophyllia recta,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Lobophyllia,recta,Symphyllia,"(Dana, 1846)",Grooved brain coral,No,No,No,No,LC,-,LC,1956 (as Symphyllia nobilis; Purchon),2020 (Kikuzawa et al),14,10,30,808.1081081,0.032506,0.000607,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"CY-S, PSD-NW, PSD-SW, RL-W, SJ-NW, SS-N",X (SIMP),"X (Chou et al, subtidal seawall transplant)
X (Chou et al, subtidal seawall transplant)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Purchon 1956; Chuang 1961; Chou & Teo 1983; Chou & Wong 1986; Loo & Chou 1995; Guest et al 2005b; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020

Chou et al 2017 (effectiveness of reef restoration); Chou et al 2018 (relevance of reef restoration)"
Lobophyllia valenciennesii,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Lobophyllia,valenciennesii,Symphyllia,"(Milne Edwards & Haime, 1849)",Grooved brain coral,No,No,No,No,LC,-,DD,2009 (as Symphyllia valenciennesii; Huang et al),2020 (Ng et al),5,10,30,,0.004226,2.41E-01,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive.
Hermaphroditic broadcaster.","JO-S, KU-NE, PSD-NW, SJ-NW",,X (SIMP),,,,X (SultanShoal),,,,,,"DD, as % cover change only quantified for < 10 years. 
",,Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020
Micromussa amakusensis,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Micromussa,amakusensis,Acanthastrea,"(Veron, 1990)",,No,No,No,No,NT,-,DD,2019 (Ng et al),2019 (Ng et al),1,10,30,,,,X,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies encrusting. 
Hermaphroditic broadcaster.

On dead coral skeletons, bare rocky substrate, or on artificial structures.
","KU-NE, SS-S",,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",Detected only after >3 decades of reef monitoring; likelihood of misidentification in view of other similar looking taxa e.g. Dipsastraea or Acanthastrea spp. ,Ng et al 2019a (New genus and species record)
Oxypora crassispinosa,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Oxypora,crassispinosa,Oxypora,"Nemenzo, 1979",Porous lettuce coral,No,No,No,No,LC,-,DD,1995 (as Oxypora crassispinosa; Loo & Chou),1995 (as Oxypora crassispinosa; Loo & Chou),1,10,30,-100,-0.01042,0.288936,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Oxypora echinata,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Oxypora,echinata,Oxypora,"(Saville Kent, 1871)",,No,No,No,No,LC,-,LC,1995 (Loo & Chou),2018 (Wong et al),2,10,30,-34.7826087,-0.00067,0.69726,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.",TM-S,,,,,,,,,,,,"Not found at many sites. Population decline not significant.

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Loo & Chou 1995; Wong et al 2018
Oxypora lacera,Cnidaria,Anthozoa,Scleractinia,Lobophylliidae,Oxypora,lacera,Oxypora,"(Verrill, 1864)",Ragged chalice coral,No,No,No,No,LC,-,NT,1878 (Brüggemann),2020 (Kikuzawa et al),23,10,30,-49.18821678,-0.08143,0.271434,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies foliose, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HA-NE, HP-E, JO-S, KU-NE, LZ-SW, PSD-NW, RL-W, SE-SW, SJ-NW, SS-S, TKK-W, TPT-SW",,,,,X (Raffles),X,,,,X,"Common at many sites. Population decline not significant

Documented from other reefs in the region (Huang et al 2015).

Downgraded from status in Part 1 [initial (local) assessment based on RDB2 methodology]: Expected to receive immigration of propagules, or immigration of propagules not expected to decrease.",,Brüggemann 1878; Studer 1881; Purchon 1956; Chuang 1961; Chou & Teo 1983; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020
Astrea annuligera,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Astrea,annuligera,Montastraea,"Milne Edwards & Haime, 1849 ",,No,No,No,No,NT,-,DD,1986 (REST Survey),1995 (as Montastrea annuligera; Loo & Chou),1,10,30,-100,-0.00839,0.052015,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies encrusting.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995
Astrea curta,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Astrea,curta,Montastraea,"Dana, 1846",,No,No,No,No,LC,-,DD,"1985 (ZRC, 19850729)",2009 (Huang et al),6,10,30,-100,-0.02035,0.010533,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive.
Hermaphroditic broadcaster.",,,X (SIMP),,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Iffah(LKCNHM); Loo & Chou 1995; Ang 2007; Huang et al 2009

Huang et al 2009b (pervasive paraphyly)"
Caulastraea echinulata,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Caulastraea,echinulata,Caulastraea,"(Milne Edwards & Haime, 1849)",,No,No,No,No,VU,-,NT,1881 (as Dasyphyllia echinulata; Studer),2020 (Lim et al),10,10,30,193.3333333,0.022379,0.033006,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies submassive, encrusting.
Hermaphroditic broadcaster.",,"HA-NE, LZ-E, RL-W, SE-SW, SS-S",,,,,X (Raffles),X,,,,X,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Studer 1881; Iffah(LKCNHM); Loo & Chou 1995; Ang 2007; Huang et al 2009; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020

Huang et al 2009b (pervasive paraphyly)"
Caulastraea furcata,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Caulastraea,furcata,Caulastraea,"Dana, 1846",,No,No,No,No,LC,-,DD,"1977 (as Caulastrea furcata, Chuang)",2012 (Ng et al),4,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies submassive.
Hermaphroditic broadcaster.",,,,"X (Ng et al, ex situ nursery)",,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Chuang 1977; Ang 2007; Huang et al 2009

Ng et al 2012 (ex situ coral nursery)"
Coelastrea incrustans,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Coelastrea,incrustans,Goniastrea,"(Verrill, 1866) ",,No,No,No,No,LC,-,LC,1977 (as Goniastrea mantonae; Chuang),2021 (as Coelastrea aspera; Lee et al),17,10,30,-68.7150838,-0.02694,0.048348,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"CY-S, HP-E, SE-SW, SS-S, TM-S, TPT-SW",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline observed subtidally but known to be found in intertidal areas also.
Common at many sites.
Further decline not predicted.

Also documented from other reefs in the region (Huang et al 2015)","Also documented on reef flats (Lee et al 2021).

This species is morphologically and genetically distinct from C. aspera (Mitsuki et al 2021).","Chuang 1977; Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009; Ang 2007; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Lee et al 2021

Huang et al 2009b (pervasive paraphyly)"
Coelastrea palauensis,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Coelastrea,palauensis,Goniastrea,"(Yabe & Sugiyama, 1936)",,No,No,No,No,NT,-,DD,1986 (as Goniastrea palauensis; Chou & Wong),2019 (Chow et al),6,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive.
Hermaphroditic broadcaster.",,,X (SIMP),,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Chou & Wong 1986; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Chow et al 2019

Huang et al 2009b (pervasive paraphyly)"
Cyphastrea chalcidicum,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Cyphastrea,chalcidicum,Cyphastrea,"(Forskål, 1775)",Meteor corals,No,No,No,No,LC,-,LC,1956 (Purchon),2021 (Lee et al),11,10,30,137.7615572,0.076369,3.22E-06,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.",,"HA-NE, HA-SE, HA-W, HP-E, HP-W, JO-S, PSD-NW, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SJ-S, SS-N, SS-S, TKK-W, TM-S, TPT-SW",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",Also documented on reef flats (Lee et al 2021),"Purchon 1956; Chou & Teo 1983; Chou & Wong 1986; Loo & Chou 1995; Ang 2007; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lee et al 2021

Huang et al 2009b (pervasive paraphyly)"
Cyphastrea microphthalma,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Cyphastrea,microphthalma,Cyphastrea,"(Lamarck, 1816)",Meteor corals,No,No,No,No,LC,-,LC,1977 (Chuang),2020 (Ng et al),11,10,30,-23.21649485,0.006816,0.78884,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.",,"HA-SE, HA-W, HP-W, JO-S, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-NW, SJ-NW, SJ-S, SS-N, SS-S, TKK-W, TPT-SW",X (SIMP),"
X (Chou et al, subtidal seawall transplant)",,,X (SultanShoal),,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Chuang 1977; Iffah(LKCNHM); Loo & Chou 1995; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020

Huang et al 2009b (pervasive paraphyly); Chou et al 2018 (relevance of reef restoration)"
Cyphastrea serailia,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Cyphastrea,serailia,Cyphastrea,"(Forskål, 1775)",,No,No,No,No,LC,-,LC,1977 (Chuang),2020 (Kikuzawa et al),19,10,30,79.42528736,0.06335,0.000202,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HA-NE, HA-SE, HA-W, HP-E, JO-S, LA-S, LZ-E, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SJ-S, SS-N, SS-S, TM-E",X (SIMP),"X (Ng et al, ex situ nursery)",,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Chuang 1977; Iffah(LKCNHM); Loo & Chou 1995; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020

Huang et al 2009b (pervasive paraphyly); Ng et al 2012 (ex situ coral nursery); Quek & Huang 2019 (phylotranscriptomic analysis); Quek et al 2020 (baits)"
Dipsastraea amicorum,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Dipsastraea,amicorum,Favia,"(Milne Edwards & Haime, 1849)",Basket coral,No,No,No,No,LC,-,DD,"1985 (ZRC, 19850715)",2009 (Huang et al),4,10,30,-100,-0.00193,0.527623,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive.
Hermaphroditic broadcaster.",,,,,,,X (Raffles),,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,"Iffah(LKCNHM); Loo & Chou 1995; Huang et al 2009

Huang et al 2009b (pervasive paraphyly)"
Dipsastraea danai,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Dipsastraea,danai,Favia,"(Milne Edwards & Haime, 1857)",,No,No,No,No,LC,-,DD,2009 (as Favia danae; Huang et al),2020 (Ng et al),4,10,30,,0.003286,0.284601,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, encrusting.
Hermaphroditic broadcaster.","HA-SE, KU-NE, RL-W",,,,,,"X (Raffles)
X (SultanShoal)",,,,,,"DD, as % cover change only quantified for < 10 years. 
",,"Huang et al 2009; Wong et al 2018; Ng et al 2020

Huang et al 2009b (pervasive paraphyly)"
Dipsastraea favus,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Dipsastraea,favus,Favia,"(Forskål, 1775)",,No,No,No,No,LC,-,LC,1881 (as Favia affinis; Studer),2021 (Lee et al),16,10,30,963,0.107048,1.38E-06,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, submassive, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HA-NE, HA-SE, HA-W, HP-E, HP-W, JO-S, KU-NE, LZ-E, PSD-NW, PSD-SW, PSL-SE, RL-W, SE-NW, SE-SW, SJ-NW, SJ-S, SS-N, SS-S, TKK-W, TM-E, TM-S, TPT-SW",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",Also documented on reef flats (Lee et al 2021),"Studer 1881; Chou & Wong 1986; Iffah(LKCNHM); Loo & Chou 1995; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020; Kikuzawa et al 2020; Lee et al 2021

Huang et al 2009b (pervasive paraphyly)"
Dipsastraea helianthoides,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Dipsastraea,helianthoides,Favia,"(Wells, 1954)",,No,No,No,No,NT,-,DD,2009 (as Favia helianthoides; Huang et al (b)),2009 (as Favia helianthoides; Huang et al (b)),1,10,30,,,,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies submassive.
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Huang et al 2009b (pervasive paraphyly)
Dipsastraea laxa,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Dipsastraea,laxa,Favia,"(Klunzinger, 1879) ",,No,No,No,No,NT,-,DD,1995 (as Favia laxa; Loo & Chou),2017 (as Dipsastraea cf. laxa; REL collections),3,10,30,-100,-0.00527,0.175898,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, encrusting. 
Hermaphroditic broadcaster.",,,,,,,,,,,,,"DD, as not recorded sufficiently from surveys to infer decline.",,Loo & Chou 1995; Ang 2007; Huang et al 2009
Dipsastraea lizardensis,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Dipsastraea,lizardensis,Favia,"(Veron, Pichon & Wijsman-Best, 1977) ",,No,No,No,No,NT,-,LC,1995 (as Favia lizardensis; Loo & Chou),2020 (Lim et al),8,10,30,28.87323944,0.0151,0.125011,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, encrusting.
Hermaphroditic broadcaster.",,"HA-W, HP-E, HP-W, JO-S, LZ-E, PSD-NW, SJ-NW, SS-S, TM-S",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Loo & Chou 1995; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Lim et al 2020

Huang et al 2009b (pervasive paraphyly)"
Dipsastraea maritima,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Dipsastraea,maritima,Favia,"(Nemenzo, 1971) ",,No,No,No,No,NT,-,DD,1995 (as Favia maritima; Loo & Chou),2020 (Ng et al),3,10,30,,0.002431,0.126136,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive.
Hermaphroditic broadcaster.","PSD-NW, SE-SW, TM-S",,,,,,,,,,,,"DD, as % cover change only quantified for < 10 years. 
",,Loo & Chou 1995; Wong et al 2018; Ng et al 2020
Dipsastraea matthaii,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Dipsastraea,matthaii,Favia,"(Vaughan, 1918) ",,No,No,No,No,NT,-,LC,1995 (as Favia matthaii; Loo & Chou),2020 (Kikuzawa et al),8,10,30,11.68091168,0.008355,0.489653,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, encrusting.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"HP-E, KU-NE, LZ-E, PSD-NW, PSD-SW, PSL-SE, SE-SW, SS-S, TM-E, TM-S",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"Population decline not observed and further decline not predicted.
Common at many sites.

Also documented from other reefs in the region (Huang et al 2015).
",,"Loo & Chou 1995; Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Kikuzawa et al 2020

Huang et al 2009b (pervasive paraphyly)"
Dipsastraea maxima,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Dipsastraea,maxima,Favia,"(Veron, Pichon & Wijsman-Best, 1977) ",,No,No,No,No,NT,-,DD,2007 (as Favia maxima; Ang),2020 (Kikuzawa et al),9,10,30,,0.006059,0.26605,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive.
Hermaphroditic broadcaster.

Can colonise artificial structures.",,"LZ-SW, PSD-NW, SE-SW, SJ-NW, SS-N, SS-S, TM-E, TPT-SW",X (SIMP),,,,"X (Raffles)
X (SultanShoal)",,,,,,"DD, as % cover change only quantified for < 10 years. 
",,"Ang 2007; Huang et al 2009; BioBlitz_SIMP2017; Wong et al 2018; Chow et al 2019; Ng et al 2020; Kikuzawa et al 2020

Huang et al 2009b (pervasive paraphyly); Quek et al 2020 (baits)"
Dipsastraea mirabilis,Cnidaria,Anthozoa,Scleractinia,Merulinidae,Dipsastraea,mirabilis,Favia,"(Yabe & Sugiyama, 1941)",,No,No,No,No,-,-,DD,2017 (BioBlitz_SIMP2017),2018 (Wong et al),2,Not stated,-,,0.002305,0.020683,,,,,,X,X,X,X,,,,,X,X,,,X,,"Colonies massive, encrusting. 
Hermaphroditic broadcaster.",RL-W,,X (SIMP),,,,,,,,,,"DD, as % cover change only quantified for < 10 years. 
",,BioBlitz_SIMP2017; Wong et al 2018
