"","spp","grow","n.grow","sd.grow","skel","n.skel","sd.skel","calc","n.calc","sd.calc","corwidth","n.corwidth","cmd","n.cmd","col","repmode","sex","symb","branching","encrusting","laminar","massive","submassive","lifehist","iucn"
"312","Cyphastrea microphthalma",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,"stress-tolerant","LC"
"313","Danafungia horrida",NA,NA,NA,NA,NA,NA,NA,NA,NA,204,1,20,3,"solitary","spawner","gonochore","no",0,0,0,1,0,NA,"LC"
"314","Danafungia scruposa",NA,NA,NA,NA,NA,NA,NA,NA,NA,111,1,24,3,"solitary","spawner","gonochore","no",0,0,0,1,0,NA,"LC"
"315","Dipsastraea albida",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"NT"
"316","Dipsastraea amicorum",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.6,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,NA,"LC"
"317","Dipsastraea danai",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"LC"
"318","Dipsastraea faviaformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.45,2,20,2,"colonial",NA,NA,NA,0,1,0,1,0,NA,"VU"
"319","Dipsastraea favus",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.83333333333333,3,37,1,"colonial",NA,NA,NA,0,1,0,1,0,"stress-tolerant","LC"
"320","Dipsastraea helianthoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,2,NA,NA,"colonial","spawner",NA,NA,0,0,0,0,1,NA,"NT"
"321","Dipsastraea lacuna",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.85,2,100,2,"colonial",NA,NA,NA,0,0,0,1,1,NA,"NT"
"322","Dipsastraea laddi",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.15,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"VU"
"323","Dipsastraea laxa",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,NA,"NT"
"324","Dipsastraea lizardensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.35,2,100,1,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,NA,"NT"
"325","Dipsastraea maritima",NA,NA,NA,NA,NA,NA,NA,NA,NA,16.3,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"NT"
"326","Dipsastraea marshae",NA,NA,NA,NA,NA,NA,NA,NA,NA,15.9,2,60,1,"colonial",NA,NA,NA,0,1,0,1,0,NA,"NT"
"327","Dipsastraea matthaii",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,"stress-tolerant","NT"
"328","Dipsastraea maxima",NA,NA,NA,NA,NA,NA,NA,NA,NA,26,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"NT"
"329","Dipsastraea rosaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,2,100,2,"colonial",NA,NA,NA,0,1,0,0,1,NA,"VU"
"330","Dipsastraea rotumana",NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,NA,"LC"
"331","Dipsastraea truncata",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.75,2,NA,NA,"colonial",NA,NA,NA,0,1,0,1,0,NA,"LC"
"332","Dipsastraea veroni",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.75,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,NA,"NT"
"333","Dipsastraea vietnamensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.45,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"NT"
"334","Duncanopsammia axifuga",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,0,NA,"NT"
"335","Duncanopsammia peltata",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,2,NA,NA,"colonial",NA,NA,NA,0,1,1,0,1,NA,"VU"
"336","Echinomorpha nishihirai",NA,NA,NA,NA,NA,NA,NA,NA,NA,115.5,1,NA,NA,"both",NA,NA,NA,0,1,0,0,0,NA,"NT"
"337","Echinophyllia aspera",NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,1,0,0,NA,"LC"
"338","Echinophyllia costata",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,2,80,1,"colonial",NA,NA,NA,0,0,1,0,0,NA,"VU"
"339","Echinophyllia echinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.45,2,NA,NA,"colonial",NA,NA,NA,0,1,1,0,0,NA,"LC"
"340","Echinophyllia echinoporoides",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,0,NA,"LC"
"341","Echinophyllia orpheensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.05,2,50,2,"colonial","spawner","hermaphrodite",NA,0,0,1,0,1,"stress-tolerant","LC"
"342","Echinophyllia patula",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.95,2,NA,NA,"colonial",NA,NA,NA,0,0,1,0,0,NA,"LC"
"343","Echinophyllia pectinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.85,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,0,NA,"DD"
"344","Echinopora ashmorensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,2,200,1,"colonial","spawner","hermaphrodite",NA,1,1,0,0,0,NA,"VU"
"345","Echinopora forskaliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"NT"
"346","Echinopora fruticulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,2,200,1,"colonial",NA,NA,NA,1,0,0,0,0,NA,"NT"
"347","Echinopora gemmacea",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,1,0,1,"generalist","LC"
"348","Echinopora hirsutissima",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,1,NA,"LC"
"349","Echinopora horrida",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,2,500,1,"colonial","spawner","hermaphrodite",NA,1,1,0,0,0,NA,"NT"
"350","Echinopora irregularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,1,NA,"DD"
"351","Echinopora lamellosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85,2,500,1,"colonial","spawner","hermaphrodite",NA,0,0,1,0,0,NA,"LC"
"352","Echinopora mammiformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,2,500,1,"colonial",NA,NA,NA,1,1,0,0,0,NA,"NT"
"353","Echinopora pacificus",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,1,0,0,NA,"NT"
"354","Echinopora robusta",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,2,NA,NA,"colonial",NA,NA,NA,0,1,0,1,0,NA,"VU"
"355","Echinopora taylorae",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,2,NA,NA,"colonial",NA,NA,NA,0,0,1,0,0,NA,"NT"
"356","Echinopora tiranensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,1,NA,"DD"
"357","Erythrastrea flabellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2,100,1,"colonial",NA,NA,NA,0,0,0,1,0,NA,"NT"
"358","Euphyllia ancora",NA,NA,NA,NA,NA,NA,NA,NA,NA,30.5,2,100,1,"colonial","spawner","gonochore",NA,0,0,0,1,0,NA,"VU"
"359","Euphyllia cristata",NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,2,12,1,"colonial",NA,NA,NA,0,0,0,1,0,NA,"VU"
"360","Euphyllia divisa",NA,NA,NA,NA,NA,NA,NA,NA,NA,22,1,100,2,"colonial","spawner",NA,NA,0,0,0,1,0,NA,"NT"
"361","Euphyllia glabrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,2,NA,NA,"colonial","brooder",NA,"yes",0,0,0,1,0,NA,"NT"
"362","Euphyllia paraancora",NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,2,NA,NA,"colonial","spawner",NA,NA,0,0,0,1,0,NA,"VU"
"363","Euphyllia paradivisa",NA,NA,NA,NA,NA,NA,NA,NA,NA,40.5,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"VU"
"364","Euphyllia paraglabrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,51,1,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"VU"
"365","Euphyllia yaeyamaensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,25.2,1,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"NT"
"366","Eusmilia fastigiata",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.5,2,250,2,"colonial","spawner","gonochore",NA,0,0,0,1,0,"stress-tolerant","LC"
"367","Favia fragum",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,5,2,"colonial","brooder","hermaphrodite","yes",0,1,0,1,0,"stress-tolerant","LC"
"368","Favites acuticollis",NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,1,NA,"NT"
"369","Favites chinensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,"stress-tolerant","NT"
"370","Favites colemani",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.95,2,40,1,"colonial",NA,NA,NA,0,1,0,0,1,NA,"NT"
"371","Favites complanata",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,0,0,1,0,NA,"NT"
"372","Favites flexuosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,16,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,NA,"NT"
"373","Favites halicora",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.8,2,NA,NA,"colonial","spawner","hermaphrodite","no",0,0,0,1,0,"stress-tolerant","NT"
"374","Favites magnistellata",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.6,2,200,1,"colonial","spawner","hermaphrodite","no",0,1,0,1,0,NA,"NT"
"375","Favites melicerum",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT"
"376","Favites micropentagonus",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.25,2,50,1,"colonial",NA,NA,NA,0,1,0,0,1,NA,"NT"
"377","Favites paraflexuosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.35,2,60,1,"colonial",NA,NA,NA,0,1,0,1,0,NA,"NT"
"378","Favites pentagona",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.15,2,100,2,"colonial","spawner","hermaphrodite",NA,0,1,0,0,2,"stress-tolerant","LC"
"379","Favites rotundata",NA,NA,NA,NA,NA,NA,NA,NA,NA,18.7,2,NA,NA,"colonial",NA,NA,NA,0,1,0,1,0,NA,"NT"
"380","Favites spinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"VU"
"381","Favites stylifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,1,NA,"NT"
"382","Favites valenciennesi",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.75,2,NA,NA,"colonial","spawner","hermaphrodite","no",0,1,0,0,1,"stress-tolerant","NT"
"383","Favites vasta",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"NT"
"384","Galaxea acrhelia",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05,2,200,2,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"385","Galaxea astreata",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.55,2,200,3,"colonial","spawner","gonochore",NA,0,1,0,0,2,"stress-tolerant","VU"
"386","Galaxea cryptoramosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,2,30,2,"colonial",NA,NA,NA,1,0,0,0,0,NA,"VU"
"387","Galaxea fascicularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.25,2,500,3,"colonial","spawner","gonochore","no",0,0,0,1,0,"stress-tolerant","NT"
"388","Galaxea horrescens",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2,200,1,"colonial","brooder",NA,NA,1,0,0,0,0,NA,"LC"
"389","Galaxea longisepta",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.15,2,15,1,"colonial",NA,NA,NA,0,1,0,0,0,NA,"NT"
"390","Galaxea paucisepta",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2,NA,NA,"colonial",NA,NA,NA,0,1,1,0,0,NA,"NT"
"391","Goniastrea columella",NA,NA,NA,NA,NA,NA,NA,NA,NA,14.25,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,1,NA,"NT"
"392","Goniastrea minuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,0,1,NA,"NT"
"393","Goniastrea pectinata",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,0,1,NA,"LC"
"394","Goniastrea ramosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.95,2,30,2,"colonial",NA,NA,NA,1,1,0,0,0,NA,"VU"
"395","Goniastrea thecata",NA,NA,NA,NA,NA,NA,NA,NA,NA,8.05,2,100,2,"colonial",NA,NA,NA,0,0,0,1,0,NA,"NT"
"396","Goniopora albiconus",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,2,100,1,"colonial",NA,NA,NA,0,1,0,0,0,NA,"VU"
"397","Goniopora burgosi",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,1,NA,"VU"
"398","Goniopora cellulosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"VU"
"399","Goniopora ciliatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35,2,500,1,"colonial",NA,NA,NA,0,0,0,0,2,NA,"LC"
"400","Goniopora columna",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,2,NA,NA,"colonial","spawner","gonochore",NA,0,0,0,0,1,NA,"NT"
"401","Goniopora djiboutiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,2,NA,NA,"colonial","spawner","gonochore",NA,0,0,0,0,2,NA,"LC"
"402","Goniopora eclipsensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,1,NA,"LC"
"403","Goniopora fruticosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2,NA,NA,"colonial",NA,NA,NA,1,1,0,0,0,NA,"LC"
"404","Goniopora lobata",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2,NA,NA,"colonial","spawner","gonochore",NA,0,0,0,1,1,NA,"NT"
"405","Goniopora minor",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,"colonial","spawner","gonochore",NA,0,1,0,1,0,NA,"NT"
"406","Goniopora norfolkensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95,2,NA,NA,"colonial","spawner","gonochore",NA,0,1,0,1,0,NA,"LC"
"407","Goniopora paliformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"VU"
"408","Goniopora palmensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05,2,NA,NA,"colonial",NA,NA,NA,1,0,0,0,1,NA,"LC"
"409","Goniopora pandoraensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,1,NA,"LC"
"410","Goniopora pearsoni",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.75,2,200,1,"colonial",NA,NA,NA,0,0,0,1,0,NA,"LC"
"411","Goniopora pendulus",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.85,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"LC"
"412","Goniopora planulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,2,NA,"VU"
"413","Goniopora polyformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU"
"414","Goniopora savignyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95,2,NA,NA,"colonial","spawner","gonochore",NA,0,0,0,0,1,NA,"LC"
"415","Goniopora somaliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,2,200,2,"colonial",NA,NA,NA,0,1,0,0,0,NA,"LC"
"416","Goniopora stokesi",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,2,10,1,"colonial",NA,NA,NA,0,0,0,1,1,NA,"NT"
"417","Goniopora sultani",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,2,NA,NA,"colonial",NA,NA,NA,0,0,0,0,1,NA,"LC"
"418","Goniopora tantillus",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD"
"419","Goniopora tenella",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.45,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,0,NA,"NT"
"420","Gyrosmilia interrupta",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,2,50,1,"colonial",NA,NA,NA,0,0,1,0,1,NA,"LC"
"421","Halomitra clavator",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"VU"
"422","Halomitra pileus",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,2,60,1,"colonial","spawner","gonochore",NA,0,0,0,1,0,NA,"LC"
"423","Heliofungia fralinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,90,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC"
"424","Heterocyathus aequicostatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,1,NA,NA,"solitary","spawner","gonochore",NA,0,0,0,1,0,NA,"LC"
"425","Heteropsammia cochlea",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,1,NA,NA,"colonial","spawner","gonochore",NA,0,0,0,1,0,NA,"LC"
"426","Homophyllia australis",NA,NA,NA,NA,NA,NA,NA,NA,NA,75,1,6,2,"both",NA,NA,NA,0,0,0,1,0,NA,"LC"
"427","Homophyllia bowerbanki",NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,2,200,2,"colonial",NA,NA,NA,0,1,0,1,0,NA,"VU"
"428","Homophyllia hillae",NA,NA,NA,NA,NA,NA,NA,NA,NA,59.2,2,150,3,"colonial","spawner","hermaphrodite","no",0,1,0,1,0,NA,"NT"
"429","Horastrea indica",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.55,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"VU"
"430","Hydnophora bonsai",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,1,NA,"EN"
"431","Hydnophora exesa",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,2,100,1,"colonial","spawner","hermaphrodite",NA,0,2,1,0,1,"generalist","NT"
"432","Hydnophora grandis",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,"colonial",NA,NA,NA,1,1,0,0,0,NA,"LC"
"433","Hydnophora pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,2,NA,NA,"colonial","spawner","hermaphrodite",NA,0,1,0,0,2,NA,"LC"
"434","Idiotrochus emarciatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,39,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","Isophyllia rigida",NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7,2,5.78,1,"colonial",NA,NA,NA,0,0,0,1,0,NA,"LC"
"436","Isophyllia sinuosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,2,8.27,1,"colonial","brooder",NA,"yes",0,0,0,1,0,"weedy","LC"
"437","Isopora crateriformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,2,100,3,"colonial",NA,NA,NA,0,1,0,0,0,NA,"VU"
"438","Isopora cuneata",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,2,20,1,"colonial","brooder","hermaphrodite",NA,1,1,0,0,0,NA,"VU"
"439","Isopora togianensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,150,2,"colonial","brooder","hermaphrodite","no",1,1,0,0,0,NA,"EN"
"440","Leptastrea aequalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,2,20,1,"colonial",NA,NA,NA,0,1,0,1,0,NA,"VU"
"441","Leptastrea bewickensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,100,1,"colonial",NA,NA,NA,0,1,0,1,0,NA,"NT"
"442","Leptastrea bottae",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,2,NA,NA,"colonial","spawner","gonochore",NA,0,1,0,1,0,NA,"NT"
"443","Leptastrea inaequalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.95,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"NT"
"444","Leptastrea pruinosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,0,NA,"LC"
"445","Leptastrea transversa",NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,2,NA,NA,"colonial",NA,NA,NA,0,1,0,1,0,NA,"LC"
"446","Leptoria irregularis",NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,2,150,1,"colonial",NA,NA,NA,0,1,0,0,1,NA,"VU"
"447","Leptoseris amitoriensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65,2,NA,NA,"colonial",NA,NA,NA,0,0,1,0,0,NA,"NT"
"448","Leptoseris cailleti",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,"colonial",NA,NA,NA,0,0,1,0,0,NA,"LC"
"449","Leptoseris explanata",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,2,NA,NA,"colonial","spawner",NA,NA,0,1,1,0,0,NA,"LC"
"450","Leptoseris foliosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.25,2,NA,NA,"colonial",NA,NA,NA,0,0,1,0,0,NA,"LC"
"451","Leptoseris gardineri",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95,2,1000,3,"colonial",NA,NA,NA,0,0,1,0,0,NA,"LC"
"452","Leptoseris hawaiiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,1,NA,"LC"
"453","Leptoseris incrustans",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85,2,NA,NA,"colonial",NA,NA,NA,0,1,1,0,0,NA,"VU"
"454","Leptoseris mycetoseroides",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15,2,200,3,"colonial",NA,NA,NA,0,1,1,0,0,NA,"LC"
"455","Leptoseris papyracea",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45,2,NA,NA,"colonial",NA,NA,NA,0,0,1,0,0,NA,"LC"
"456","Leptoseris scabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,5.05,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,1,NA,"LC"
"457","Leptoseris solida",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15,2,NA,NA,"colonial",NA,NA,NA,0,1,0,0,1,NA,"LC"
"458","Leptoseris striata",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,2,10,2,"colonial",NA,NA,NA,0,1,0,0,0,NA,"NT"
"459","Leptoseris tubulifera",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35,2,NA,NA,"colonial",NA,NA,NA,0,1,1,0,0,NA,"LC"
"460","Leptoseris yabei",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,100,2,"colonial",NA,NA,NA,0,0,1,0,0,NA,"VU"
"461","Lithophyllon concinna",NA,NA,NA,NA,NA,NA,NA,NA,NA,160,1,16,3,"solitary","spawner","gonochore","no",0,0,0,1,0,NA,"LC"
"462","Lithophyllon repanda",NA,NA,NA,NA,NA,NA,NA,NA,NA,150,2,30,3,"solitary","spawner","gonochore","no",0,0,0,1,0,NA,"LC"
"463","Lithophyllon scabra",NA,NA,NA,NA,NA,NA,NA,NA,NA,78,1,NA,NA,"solitary",NA,NA,NA,0,0,0,1,0,NA,"LC"
"464","Lithophyllon spinifer",NA,NA,NA,NA,NA,NA,NA,NA,NA,118,1,12.5,1,"solitary",NA,NA,NA,0,0,0,1,0,NA,"LC"
"465","Lithophyllon undulatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,2,50,1,"colonial",NA,NA,NA,0,1,1,0,0,NA,"NT"
"466","Lobophyllia corymbosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3333333333333,3,200,2,"colonial",NA,NA,"no",0,1,0,1,0,"stress-tolerant","LC"
"467","Lobophyllia dentata",NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3,2,200,2,"colonial",NA,NA,NA,0,1,0,1,0,NA,"VU"
"468","Lobophyllia diminuta",NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5,1,NA,NA,"colonial",NA,NA,NA,0,1,0,1,0,NA,"VU"
"469","Lobophyllia flabelliformis",NA,NA,NA,NA,NA,NA,NA,NA,NA,44.2,2,200,1,"colonial",NA,NA,NA,0,0,0,1,0,NA,"VU"
"470","Lobophyllia hataii",NA,NA,NA,NA,NA,NA,NA,NA,NA,27.5,2,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"LC"
"471","Lobophyllia hemprichii",NA,NA,NA,NA,NA,NA,NA,NA,NA,21.65,2,500,1,"colonial","spawner","hermaphrodite",NA,0,1,0,1,0,NA,"LC"
"472","Lobophyllia pachysepta",NA,NA,NA,NA,NA,NA,NA,NA,NA,23.35,2,50,1,"colonial","spawner","hermaphrodite","no",0,1,0,1,0,"stress-tolerant","NT"
"473","Lobophyllia robusta",NA,NA,NA,NA,NA,NA,NA,NA,NA,47.5,1,NA,NA,"colonial",NA,NA,NA,0,0,0,1,0,NA,"LC"
